AAPFCO,"""AAPFCO"" means the Association of American Plant Food Control Officials."
act,"""Act"" means the Virginia Contractor Transaction Recovery Act."
act,"""Act"" means the federal Secure and Fair Enforcement for Mortgage Licensing Act, Title V (§ 1501 et seq.) of the Housing and Economic Recovery Act of 2008, P.L. 110-289."
act,"""Coal Mine Safety Act"" or ""Act"" shall mean this chapter and Chapters 14.3 (§ 45.1-161.105 et seq.) and 14.4 (§ 45.1-161.253 et seq.) of this title, and shall include any regulations promulgated thereunder, where applicable."
act,"""Act"" means the Virginia Real Estate Transaction Recovery Act."
act,"""Act"" means the Government Employees Deferred Compensation Plan Act."
act of god,"""act of God"" shall include any natural disaster or phenomena including a hurricane, tornado, storm, flood, high water, wind-driven water, tidal wave, earthquake or fire caused by lightning or wildfire. For purposes of this section, owners of property damaged by an accidental fire have the same rights to rebuild such property as if it were damaged by an act of God. Nothing herein shall be construed to enable the property owner to commit an arson under § 18.2-77 or 18.2-80, and obtain vested rights under this section."
act of terrorism,"""Act of terrorism"" means an act of violence as defined in clause (i) of subdivision A of § 19.2-297.1 committed with the intent to (i) intimidate the civilian population at large; or (ii) influence the conduct or activities of the government of the United States, a state or locality through intimidation."
act of violence,"""act of violence"" if such offense would be a felony if committed in the Commonwealth."
act of violence,"""Act of violence"" means those felony offenses described in subsection A of § 19.2-297.1."
"act of violence, force, or threat","""Act of violence, force, or threat"" means any act involving violence, force, or threat that results in bodily injury or places one in reasonable apprehension of death, sexual assault, or bodily injury. Such act includes, but is not limited to, any forceful detention, stalking, criminal sexual assault in violation of Article 7 (§ 18.2-61 et seq.) of Chapter 4 of Title 18.2, or any criminal offense that results in bodily injury or places one in reasonable apprehension of death, sexual assault, or bodily injury."
action,"""Action"" includes nonaction or the failure to take action."
action,"""Action"" means recoupment, counterclaim, set off, or other civil suit and any other proceeding in which rights are determined, including without limitation actions for possession, rent, unlawful detainer, unlawful entry, and distress for rent."
action,"""Action"" and ""suit"" may be used interchangeably and shall include all civil proceedings whether upon claims at law, in equity, or statutory in nature and whether in circuit courts or district courts;"
